AccountId,ClientId,PaymentAmt,EnrollmentAmt,TaxAmt,ClearAmt,CarsAmt,FoodAmt,FLAmt,CutoffDt
10200,200,1704800.00,"","","",1704800.00,"",1704800.00,2020-11-04
10757,757,1129397.36,"",1129397.36,"",1120321.66,"","",2020-11-01
10966,966,1529966.78,"",1529966.78,"",1522870.18,"",1529966.78,2020-11-02
11136,1136,"",1565067.20,"",1565067.20,"",900790.35,"",2020-11-02
11198,1198,1140586.85,"",1140586.85,"",1131467.05,"",1140586.85,2020-11-02
11412,1412,1746492.80,"",1746492.80,"",1746492.80,"",1746492.80,2020-11-04
11531,1531,"",1022221.81,"","","",586208.52,"",2020-11-01
11598,1598,1752891.20,"",1752891.20,"",1747731.40,"",1752891.20,2020-11-02
11712,1712,"",1584881.60,"","","",910032.84,"",2020-11-02
11728,1728,"",1417810.21,"",1417810.21,"",374914.79,"",2020-11-02
11905,1905,1554828.69,"",1554828.69,"",1554828.69,"","",2020-11-01
1198,1198,1271339.45,"",1271339.45,"",1271219.65,"","",2020-11-02
12017,2017,1161367.34,"",1161367.34,"",1152165.64,"","",2020-11-01
1209,1209,1395509.60,"",1395509.60,"",1395509.60,"",1395509.60,2020-11-01
12167,2167,1165173.29,"",1165173.29,"",1161956.59,"","",2020-11-03
12552,2552,"",1613777.60,"",1613777.60,"",923511.48,"",2020-11-02
12625,2625,1573892.13,"","","",1573892.13,"","",2020-11-01
12629,2629,1176895.62,"",1176895.62,"",1167632.72,"","",2020-11-01
12688,2688,1575560.18,"",1575560.18,"",1575560.18,"",1575560.18,2020-11-04
1287,1287,1398192.80,"","","",1398192.80,"",1398192.80,2020-11-03
12872,2872,1183061.26,"","","",1173774.06,"",1183061.26,2020-11-04
13020,3020,"",1629876.80,"","","",931021.01,"",2020-11-02
13060,3060,"",1453077.57,"","","",385601.43,"",2020-11-02
13121,3121,"",1062564.88,"",1062564.88,"",611721.66,"",2020-11-03
13147,3147,"",1455381.07,"","","",386299.43,"",2020-11-01
13342,3342,"",1460544.09,"",1460544.09,"",387863.91,"",2020-11-04
13693,3693,"",1469837.52,"","","",390679.99,"",2020-11-03
13733,3733,"",1078093.16,"",1078093.16,"",621541.81,"",2020-11-03
13883,3883,1208713.36,"",1208713.36,"",1208713.36,"","",2020-11-03
13889,3889,1208865.60,"",1208865.60,"",1199476.70,"","",2020-11-01
13889,3889,"",1082051.34,"","","",624044.99,"",2020-11-03
13907,3907,1209322.31,"","","",1199931.61,"","",2020-11-03
14035,4035,1611224.70,"",1611224.70,"",1603821.20,"","",2020-11-03
14051,4051,"",1086161.77,"",1086161.77,"",626644.44,"",2020-11-01
14056,4056,"",1479448.67,"","","",393592.33,"",2020-11-02
14064,4064,"",1665790.40,"","","",947773.04,"",2020-11-02
14260,4260,"",1484849.97,"","","",395229.03,"",2020-11-02
14510,4510,"",1097807.98,"","","",634009.55,"",2020-11-04
14511,4511,"",1681167.20,"",1681167.20,"",954945.60,"",2020-11-01
14664,4664,1858361.60,"",1858361.60,"",1858361.60,"",1858361.60,2020-11-04
14795,4795,"",1105039.28,"","","",638582.66,"",2020-11-01
14929,4929,1634895.13,"","","",1634895.13,"","",2020-11-01
14986,4986,1636404.32,"",1636404.32,"",1634905.72,"",1636404.32,2020-11-02
14991,4991,"",1697679.20,"","","",962647.68,"",2020-11-01
15008,5008,1237257.98,"",1237257.98,"",1237257.98,"",1237257.98,2020-11-04
1504,1504,1279441.41,"",1279441.41,"",1279291.01,"","",2020-11-04
15087,5087,1872912.80,"",1872912.80,"",1872912.80,"","",2020-11-03
15377,5377,1246620.62,"","","",1246620.62,"","",2020-11-01
15416,5416,1247610.17,"","","",1244068.57,"",1247610.17,2020-11-04
16037,6037,1263366.80,"",1263366.80,"",1259763.10,"","",2020-11-01
1623,1623,1409751.20,"",1409751.20,"",1409751.20,"",1409751.20,2020-11-03
16307,6307,1270217.51,"","","",1266586.81,"","",2020-11-03
16310,6310,1270293.63,"",1270293.63,"",1260662.63,"",1270293.63,2020-11-02
16439,6439,1273566.75,"",1273566.75,"",1273566.75,"","",2020-11-03
1680,1680,1411712.00,"",1411712.00,"",1407544.00,"","",2020-11-04
16814,6814,1283081.62,"",1283081.62,"",1273400.22,"",1283081.62,2020-11-02
17066,7066,1289475.62,"",1289475.62,"",1279769.02,"",1289475.62,2020-11-02
17093,7093,1290160.69,"","","",1280451.39,"","",2020-11-01
17182,7182,1694547.81,"","","",1692829.61,"",1694547.81,2020-11-02
17219,7219,1293357.69,"","","",1283635.79,"","",2020-11-03
17497,7497,1702888.07,"",1702888.07,"",1701138.37,"","",2020-11-01
17561,7561,1302035.25,"","","",1292279.15,"","",2020-11-01
18074,8074,1315051.60,"","","",1305244.20,"",1315051.60,2020-11-02
18332,8332,1321597.84,"",1321597.84,"",1317764.64,"",1321597.84,2020-11-04
18467,8467,1325023.19,"",1325023.19,"",1321176.49,"","",2020-11-03
1849,1849,"",1761560.00,"","","",992445.10,"",2020-11-02
1854,1854,1417697.60,"",1417697.60,"",1417697.60,"","",2020-11-02
18554,8554,1327230.64,"",1327230.64,"",1327230.64,"",1327230.64,2020-11-02
18642,8642,1995204.80,"","","",1995204.80,"",1995204.80,2020-11-02
18738,8738,1998507.20,"",1998507.20,"",1998507.20,"",1998507.20,2020-11-02
19278,9278,2017083.20,"","","",2017083.20,"",2017083.20,2020-11-02
2050,2050,1293897.85,"",1293897.85,"",1293897.85,"","",2020-11-02
2127,2127,"",1164183.74,"","","",675985.89,"",2020-11-04
2129,2129,910479.12,"",910479.12,"",910479.12,"",910479.12,2020-11-01
2173,2173,"",1772705.60,"","","",997644.00,"",2020-11-02
2363,2363,916416.40,"",916416.40,"",916416.40,"",916416.40,2020-11-03
287,287,"",1512015.38,"","","",403460.62,"",2020-11-04
3071,3071,"",1585727.34,"",1585727.34,"",425796.66,"",2020-11-04
3121,3121,"",1805316.80,"",1805316.80,"",1012855.61,"",2020-11-02
3213,3213,"",1191738.82,"",1191738.82,"",693411.84,"",2020-11-02
3383,3383,"",1593988.17,"","","",428299.83,"",2020-11-04
347,347,"",1513604.00,"","","",403942.00,"",2020-11-04
